year,month,day,hour,minute,lat,lon,intensity,size,distance,Storm_NosyBe_1h,Storm_NosyBe_3h
2004,1,19,10,30,-13.6126,48.2281,468,1422,10.44,0,1
2004,1,19,10,45,-13.7039,48.2598,488,1881,13.34,0,1
2004,1,19,11,0,-13.7953,48.2918,424,1746,16.28,0,1
2004,1,19,11,15,-14.219,48.3387,485,4167,30.41,0,1
2004,1,19,11,30,-13.2851,49.2745,155,207,19.1,0,1
2004,1,19,11,45,-13.1702,49.4486,235,1638,23.77,1,1
2004,1,19,12,0,-13.6081,49.0155,460,8469,15,1,1
2004,1,19,12,15,-13.6064,48.9618,442,9900,14.21,1,1
2004,1,19,12,30,-12.6188,49.1001,239,9873,31.24,1,1
2004,1,19,12,45,-12.5869,49.0363,214,2097,31.4,1,1
2004,1,19,13,0,-13.6028,48.8542,428,13923,12.73,1,1
2004,1,19,13,15,-13.6315,48.8114,420,15165,12.81,1,1
2004,1,19,13,30,-13.4826,48.8643,393,16308,11.18,1,1
2004,1,19,13,45,-13.3661,48.9828,385,16938,13.04,1,0
2004,1,19,14,0,-13.2478,49.0479,385,36513,15.3,1,0
2004,1,19,14,15,-13.1549,48.9627,360,39213,15.23,1,1
2004,1,19,14,30,-14.9418,48.2417,422,17946,55.32,1,1
2004,1,19,14,45,-14.9111,48.2303,417,17685,54.34,1,1
2004,1,19,15,0,-14.9093,48.1775,434,17253,54.57,1,1
2004,1,19,15,15,-14.8804,48.2185,423,15885,53.37,1,0
2004,1,19,15,30,-12.7318,48.8725,328,46170,25,1,0
2004,1,19,15,45,-12.7605,48.8294,342,46575,23.6,0,0
2004,1,19,16,0,-12.9072,48.7202,349,44703,17.8,0,0
2004,1,19,17,15,-14.4152,47.8906,204,33066,39.92,0,0
2004,1,19,17,30,-14.3541,47.8687,163,1962,38.08,0,0
2004,1,19,17,45,-14.2354,47.9293,125,1350,33.62,0,0
2004,1,19,18,0,-13.4447,50.4795,130,873,40.05,0,0
2004,1,19,18,45,-12.5538,47.9303,427,13158,25.08,0,0
2004,1,19,19,0,-12.5523,47.8787,426,11178,25.18,0,0
2004,1,19,19,15,-12.6699,47.8134,426,14508,21.59,0,0
2004,1,19,19,30,-12.5492,47.7754,406,14859,25.5,0,0
2004,1,19,20,0,-12.5145,47.6119,352,11412,27.2,0,0
2004,1,19,22,45,-14.7663,47.5557,368,297,54.56,0,0
